date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:57	52396/52396	---MC-	200	added ('OK')	application/json	date:Sat,%2022%20Jul%202017%2006:44:58%20GMT	http://maze.umbrella.al/wp-json/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-json/index.html	(from http://maze.umbrella.al/)
12:14:57	2160/2160	---MC-	200	added ('OK')	application/json	date:Sat,%2022%20Jul%202017%2006:44:59%20GMT	http://maze.umbrella.al/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmaze.umbrella.al%2F	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-json/oembed/1.0/embed6567.json	(from http://maze.umbrella.al/)
12:14:59	10368/10368	---M--	200	added ('OK')	audio/mpeg	etag:%222880-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/sound/click.mp3	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/sound/click.mp3	(from http://maze.umbrella.al/)
12:14:59	12791/12791	---M--	200	added ('OK')	audio/ogg	etag:%2231f7-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/sound/click.ogg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/sound/click.ogg	(from http://maze.umbrella.al/)
12:15:00	15194/15194	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:01%20GMT	http://maze.umbrella.al/blog/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/index.html	(from http://maze.umbrella.al/)
12:15:01	4574/4574	---M--	200	added ('OK')	image/png	etag:%2211de-50d30e9a43f40%22	http://maze.umbrella.al/wp-content/uploads/2015/01/logo.png	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/logo.png	(from http://maze.umbrella.al/)
12:15:01	32438/32438	---M--	200	added ('OK')	audio/x-wav	etag:%227eb6-50dba75ccfdc0%22	http://maze.umbrella.al/wp-content/themes/umbrellam/assets/sound/click.wav	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/themes/umbrellam/assets/sound/click.wav	(from http://maze.umbrella.al/)
12:15:02	15023/15023	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:03%20GMT	http://maze.umbrella.al/blog/portfolio_category/branding/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio_category/branding/index.html	(from http://maze.umbrella.al/)
12:15:02	15007/15007	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:04%20GMT	http://maze.umbrella.al/blog/portfolio_category/design/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio_category/design/index.html	(from http://maze.umbrella.al/)
12:15:03	15242/15242	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:04%20GMT	http://maze.umbrella.al/blog/portfolio_category/illustration/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio_category/illustration/index.html	(from http://maze.umbrella.al/)
12:15:04	15001/15001	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:06%20GMT	http://maze.umbrella.al/blog/portfolio_category/other/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio_category/other/index.html	(from http://maze.umbrella.al/)
12:15:09	39405/39405	---M--	200	added ('OK')	image/jpeg	etag:%2299ed-50d32a62c4bc0%22	http://maze.umbrella.al/wp-content/uploads/2015/01/c1-760x414.jpg	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/c1-760x414.jpg	(from http://maze.umbrella.al/)
12:15:10	14541/14541	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:12%20GMT	http://maze.umbrella.al/blog/portfolio/ice-cream-truck/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio/ice-cream-truck/index.html	(from http://maze.umbrella.al/)
12:15:20	127621/127621	---M--	200	added ('OK')	image/png	etag:%221f285-50d327cb02dc0%22	http://maze.umbrella.al/wp-content/uploads/2015/01/a-760x570.png	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/wp-content/uploads/2015/01/a-760x570.png	(from http://maze.umbrella.al/)
12:15:22	14561/14561	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Jul%202017%2006:45:23%20GMT	http://maze.umbrella.al/blog/portfolio/ice-cream-truck-4/	C:/Users/Abhiprae/Desktop/Tekmux_main/maze.umbrella.al/blog/portfolio/ice-cream-truck-4/index.html	(from http://maze.umbrella.al/)
